index	headword	pos	definition	notes:bookkeeping	Transcription:Armenian	Transcription	UR	Declension class	Verb Regularity	Regular category	Subclass	Class number
118	ազատասպան	noun, adjective	Liberticide.		ազատասպան	ɑ z ɑ d ɑ s p ɑ́ n	Rազատ-ա+Rսպան	Multi-POS				
119	ազատատոհմ	adjective	Noble, gentle.		ազատատոհմ	ɑ z ɑ d ɑ d ó h m	Rազատ-ա+Rտոհմ	Adjective				
120	ազատատոհմութիւն	noun	Nobility.		ազատատոհմութիւն	ɑ z ɑ d ɑ d o h m u t ʏ́ n	Rազատ-ա+Rտոհմ-ութիւն	Suffix utjun				
121	ազատարար	noun	Savior.		ազատարար	ɑ z ɑ d ɑ ɾ ɑ́ ɾ	Rազատ-արար	Regular?				
122	ազատել	verb active	(կեանքը) To save, to deliver.		ազատել	ɑ z ɑ d é l	Rազատ-ե-լ		Regular	E-Class		1
123	ազատիլ	verb reflected	To escape, to be saved.		ազատիլ	ɑ z ɑ d í l	Rազատ-ի-լ		Regular	I-Class	Basic	3
124	ազատիչ	noun	same as Ազատարար։		ազատիչ	ɑ z ɑ d í t͡ʃ	Rազատ-իչ	Regular?				
125	ազատորդի	adjective	Freeborn, ingenuous, son of a noble.		ազատորդի	ɑ z ɑ d o ɾ t í	Rազատ+Rորդի	Adjective				
126	ազատորեար	noun	Nobility, aristocracy, the peers.		ազատորյար	ɑ z ɑ d o ɾ j ɑ́ ɾ	Rազատ+Rոր-յար	Regular?				
127	ազատութիւն	noun	Liberty, freedom, independence, deliverance, affranchisement, licence, frankness.		ազատութիւն	ɑ z ɑ d u t ʏ́ n	Rազատ-ութիւն	Suffix utjun				
128	ազատուիլ	verb reflected	To escape, to be saved.		ազատվիլ	ɑ z ɑ d v í l	Rազատ-վ-ի-լ		Regular	Passive	Passive	3
129	ազատուհի	noun	Noblewoman, gentlewoman.		ազատուհի	ɑ z ɑ d u h í	Rազատ-ուհի	Regular?				
130	ազատում	noun	Delivery, release.		ազատում	ɑ z ɑ d ú m	Rազատ-ում	Potential -um suffix				
131	ազատքեղ	noun	Parsley.		ազատքեղ	ɑ z ɑ t k é ʁ	Rազատքեղ	Regular?				
132	ազատօրէն	adverb	Freely, liberally, without restraint.		ազա՛տօրէն	ɑ z ɑ́ d o ɾ e n	Rազատ-օրէն	Adverb				
133	ազարիոն	noun	(bot.) Tansy, cost, costmary.		ազարիյոն	ɑ z ɑ ɾ i j ó n	Rազարիյոն	Regular?				
134	ազբն	noun	Weft, chain; shackle, woof, warp.		ազբըն	ɑ́ s p ə n	Rազբն	Regular?				
135	ազբոց	noun	Simple stick.		ազբոց	ɑ s p ó t͡s	Rազբ-ոց	Regular?				
136	ազգ	noun	Nation, people, generation: degree, genus, kind.		ազգ	ɑ́ s k	Rազգ	Regular?				
137	ազգաբան	noun	Genealogist.		ազգաբան	ɑ s k ɑ p ɑ́ n	Rազգ-ա+Rբան	Regular?				
138	ազգաբանական	adjective	Genealogical.		ազգաբանական	ɑ s k ɑ p ɑ n ɑ ɡ ɑ́ n	Rազգ-ա+Rբան-ական	Adjective				
139	ազգաբանութիւն	noun	Genealogy; folklore.		ազգաբանութիւն	ɑ s k ɑ p ɑ n u t ʏ́ n	Rազգ-ա+Rբան-ութիւն	Suffix utjun				
140	ազգագիր	noun	Ethnographer, ethnologist.		ազգագիր	ɑ s k ɑ k í ɾ	Rազգ-ա+Rգիր	Regular?				
141	ազգագրական	adjective	Ethnographical.		ազգագըրական	ɑ s k ɑ k ə ɾ ɑ ɡ ɑ́ n	Rազգ-ա+Rգիր-ական	Adjective				
142	ազգագրութիւն	noun	Ethnography.		ազգագըրութիւն	ɑ s k ɑ k ə ɾ u t ʏ́ n	Rազգ-ա+Rգիր-ութիւն	Suffix utjun				
143	ազգադաւ	noun	Traitor, who betrays his country.		ազգադավ	ɑ s k ɑ t ɑ́ v	Rազգ-ա+Rդավ	Regular?				
144	ազգաթիւ	noun	Enumeration; census of persons, lineage, relation.		ազգաթիվ	ɑ s k ɑ t í v	Rազգ-ա+Rթիվ	Regular?				
145	ազգաժողով	noun	National assembly, league of nations.		ազգաժողով	ɑ s k ɑ ʒ o ʁ ó v	Rազգ-ա+Rժողով	Regular?				
146	ազգախառն	adjective	Related by birth, relative.		ազգախառըն	ɑ s k ɑ χ ɑ́ ɾ ə n	Rազգ-ա+Rխառն	Adjective				
147	ազգախառնիլ	verb neutre	To ally oneself by marriage.		ազգախառնիլ	ɑ s k ɑ χ ɑ ɾ n í l	Rազգ-ա+Rխառն-ի-լ		Regular	I-Class	Basic	3
148	ազգախառնութիւն	noun	Consanguinity, relationship.		ազգախառնութիւն	ɑ s k ɑ χ ɑ ɾ n u t ʏ́ n	Rազգ-ա+Rխառն-ութիւն	Suffix utjun				
149	ազգախօս	noun	Ethnologist.		ազգախօս	ɑ s k ɑ χ ó s	Rազգ-ա+Rխօս	Regular?				
150	ազգախօսական	adjective	Ethnologic, ethnological.		ազգախօսական	ɑ s k ɑ χ o s ɑ ɡ ɑ́ n	Rազգ-ա+Rխօս-ական	Adjective				
151	ազգախօսութիւն	noun	Ethnology, ethnography.		ազգախօսութիւն	ɑ s k ɑ χ o s u t ʏ́ n	Rազգ-ա+Rխօս-ութիւն	Suffix utjun				
152	ազգածնունդ	noun	Ethnogeny.		ազգածընունդ	ɑ s k ɑ d͡z ə n ú n t	Rազգ-ա+Rծին-ունդ	Regular?				
153	ազգական	noun	Relative, kinsman, kin.		ազգական	ɑ s k ɑ ɡ ɑ́ n	Rազգ-ական	Regular?				
154	ազգականութիւն	noun	Relation, consanguinity, kin, cognation, analogy.		ազգականութիւն	ɑ s k ɑ ɡ ɑ n u t ʏ́ n	Rազգ-ական-ութիւն	Suffix utjun				
155	ազգականուհի	noun	Relative, kinswoman.		ազգականուհի	ɑ s k ɑ ɡ ɑ n u h í	Rազգ-ական-ուհի	Regular?				
156	ազգակից	noun	Kinsfolk, kindred, of the same nation, allied to.		ազգակից	ɑ s k ɑ ɡ í t͡s	Rազգ-ա+Rկից	Regular?				
157	ազգակցիլ	verb neutre	To coalesce with relatives, to make alliance by marriage.		ազգակցիլ	ɑ s k ɑ k t͡s í l	Rազգ-ա+Rկից-ի-լ		Regular	I-Class	Basic	3
158	ազգակցութիւն	noun	Cousinage, parentage, affinity, consanguinity, likeness.		ազգակցութիւն	ɑ s k ɑ k t͡s u t ʏ́ n	Rազգ-ա+Rկից-ութիւն	Suffix utjun				
159	ազգահամար	noun	Genealogy, census, enumeration.		ազգահամար	ɑ s k ɑ h ɑ m ɑ́ ɾ	Rազգ-ա+Rհամար	Regular?				
160	ազգահամարական	adjective	Genealogical.		ազգահամարական	ɑ s k ɑ h ɑ m ɑ ɾ ɑ ɡ ɑ́ n	Rազգ-ա+Rհամար-ական	Adjective				
161	ազգահամարութիւն	noun	same as Ազգաբանութիւն։		ազգահամարութիւն	ɑ s k ɑ h ɑ m ɑ ɾ u t ʏ́ n	Rազգ-ա+Rհամար-ութիւն	Suffix utjun				
162	ազգահանութիւն	noun	same as Ազգաբանութիւն։		ազգահանութիւն	ɑ s k ɑ h ɑ n u t ʏ́ n	Rազգ-ա+Rհան-ութիւն	Suffix utjun				
163	ազգահատութիւն	noun	Extinction, cessation.		ազգահատութիւն	ɑ s k ɑ h ɑ d u t ʏ́ n	Rազգ-ա+Rհատ-ութիւն	Suffix utjun				
164	ազգահաւ	noun	Dey, hetman, hospodar, chief.		ազգահավ	ɑ s k ɑ h ɑ́ v	Rազգ-ա+Rհավ	regular?				
165	ազգամարտ	adjective	Antinational.		ազգամարտ	ɑ s k ɑ m ɑ́ ɾ d	Rազգ-ա+Rմարտ	Adjective				
166	ազգային	adjective	National.		ազգային	ɑ s k ɑ j í n	Rազգ-ային	Adjective				
167	ազգայնական	adjective	Nationalist, national.		ազգայնական	ɑ s k ɑ j n ɑ ɡ ɑ́ n	Rազգ-ային-ական	Adjective				
168	ազգայնականութիւն	noun	Nationalism.		ազգայնականութիւն	ɑ s k ɑ j n ɑ ɡ ɑ n u t ʏ́ n	Rազգ-ային-ական-ութիւն	Suffix utjun				
169	ազգայնամոլ	adjective	Chauvinist, jingo, violent patriot.		ազգայնամոլ	ɑ s k ɑ j n ɑ m ó l	Rազգ-ային-ա+Rմոլ	Adjective				
170	ազգայնամոլական	adjective	Chauvinistic.		ազգայնամոլական	ɑ s k ɑ j n ɑ m o l ɑ ɡ ɑ́ n	Rազգ-ային-ա+Rմոլ-ական	Adjective				
171	ազգայնամոլութիւն	noun	Chauvinism, jingoism.		ազգայնամոլութիւն	ɑ s k ɑ j n ɑ m o l u t ʏ́ n	Rազգ-ային-ա+Rմոլ-ութիւն	Suffix utjun				
172	ազգայնապէս	adverb	Nationally.		ազգա՛յնապէս	ɑ s k ɑ́ j n ɑ b e s	Rազգ-ային-ապէս	Adverb				
173	ազգայնութիւն	noun	Nationality.		ազգայնութիւն	ɑ s k ɑ j n u t ʏ́ n	Rազգ-ային-ութիւն	Suffix utjun				
174	ազգանուանական	adjective	Ethnic, ethnical.		ազգանվանական	ɑ s k ɑ n v ɑ n ɑ ɡ ɑ́ n	Rազգ-անվան-ական	Adjective				
175	ազգանուէր	adjective	Devoted for his nation.		ազգանըվէր	ɑ s k ɑ n ə v é ɾ	Rազգ-ա+Rնվէր	Adjective				
176	ազգանուն	noun	Generic name, family name.		ազգանուն	ɑ s k ɑ n ú n	Rազգ-անուն	Regular?				
177	ազգապետ	noun	Ethnarch, chief, governor of a nation.		ազգապետ	ɑ s k ɑ b é d	Rազգ-ա-պետ	Regular?				
178	ազգապետութիւն	noun	Ethnarchy.		ազգապետութիւն	ɑ s k ɑ b e d u t ʏ́ n	Rազգ-ա-պետ-ութիւն	Suffix utjun				
179	ազգապիղծ	adjective	Incestuous.		ազգապիղծ	ɑ s k ɑ b í ʁ d͡z	Rազգ-ա+Rպիղծ	Adjective				
180	ազգապղծութիւն	noun	Incest.		ազգապըղծութիւն	ɑ s k ɑ b ə ʁ d͡z u t ʏ́ n	Rազգ-ա+Rպիղծ-ութիւն	Suffix utjun				
181	ազգապղծօրէն	adverb	Incestuously.		ազգապը՛ղծօրէն	ɑ s k ɑ b ə́ ʁ d͡z o ɾ e n	Rազգ-ա+Rպիղծ-օրէն	Adverb				
182	ազգասէր	noun	Patriot, loving his country or nation.		ազգասէր	ɑ s k ɑ s é ɾ	Rազգ-ա+Rսէր	regular?				
183	ազգասիրաբար	adverb	Patriotically.		ազգասի՛րաբար	ɑ s k ɑ s í ɾ ɑ p ɑ ɾ	Rազգ-ա+Rսէր-աբար	Adverb				
184	ազգասիրական	adjective	Patriotic.		ազգասիրական	ɑ s k ɑ s i ɾ ɑ ɡ ɑ́ n	Rազգ-ա+Rսէր-ական	Adjective				
185	ազգասիրութիւն	noun	Patriotism.		ազգասիրութիւն	ɑ s k ɑ s i ɾ u t ʏ́ n	Rազգ-ա+Rսէր-ութիւն	Suffix utjun				
186	ազգատեաց	adjective	Who hates his nation.		ազգատյաց	ɑ s k ɑ d j ɑ́ t͡s	Rազգ+Rատ-յաց	Adjective				
187	ազգատել	verb active	To exterminate.		ազգատել	ɑ s k ɑ d é l	Rազգ+Rատ-ե-լ		Regular	E-Class		1
188	ազգատոհմ	noun	Relationship, consanguinity, relatives, progeny, family, house.		ազգատոհմ	ɑ s k ɑ d ó h m	Rազգ-ա+Rտոհմ	Regular?				
189	ազգատոհմակցութիւն	noun	Relation, consanguinity.		ազգատոհմակցութիւն	ɑ s k ɑ d o h m ɑ k t͡s u t ʏ́ n	Rազգ-ա+Rտոհմ-ա+Rկից-ութիւն	Suffix utjun				
190	ազգաւորութիւն	noun	see Ցեղ։		ազգավորութիւն	ɑ s k ɑ v o ɾ u t ʏ́ n	Rազգ-ավոր-ութիւն	Suffix utjun				
191	ազգովին	adverb	Nationally.		ազգովին	ɑ s k o v í n	Rազգ-ով-ին	Adverb				
192	ազգութիւն	noun	Nationality.		ազգութիւն	ɑ s k u t ʏ́ n	Rազգ-ութիւն	Suffix utjun				
193	ազգօգուտ	adjective	Useful, beneficial to the nation.		ազգօգուտ	ɑ s k o k ú d	Rազգ+Rօգուտ	Adjective				
194	ազդ	noun	Notice, announcement, advertisement, sensation, feeling, advice.		ազդ	ɑ́ s t	Rազդ	Regular?				
195	ազդագիր	noun	Placard, summons, summation.		ազդագիր	ɑ s t ɑ k í ɾ	Rազդ-ա+Rգիր	Regular?				
196	ազդագրել	verb active	To notify, to summon, to post up.		ազդագրել	ɑ s t ɑ k ɾ é l	Rազդ-ա+Rգիր-ե-լ		Regular	E-Class		1
197	ազդագրող	noun	Bill-sticker.		ազդագրող	ɑ s t ɑ k ɾ ó ʁ	Rազդ-ա-գիր-ող	Regular?				
198	ազդակ	noun	Agent, power, factor.		ազդակ	ɑ s t ɑ́ ɡ	Rազդ-ակ	Regular?				
199	ազդական	adjective	Advising, energetic, efficacious.		ազդական	ɑ s t ɑ ɡ ɑ́ n	Rազդ-ական	Adjective				
200	ազդանաւ	noun	Monitor.		ազդանավ	ɑ s t ɑ n ɑ́ v	Rազդ-ա+Rնավ	Regular?				
201	ազդանկար	noun	Poster.		ազդանըկար	ɑ s t ɑ n ə ɡ ɑ́ ɾ	Rազդ-ա+Rնկար	Regular?				
202	ազդարար	noun	Monitor, adviser.		ազդարար	ɑ s t ɑ ɾ ɑ́ ɾ	Rազդ-արար	Regular?				
203	ազդարարագիր	noun	Letter of advertisement, placard.		ազդարարագիր	ɑ s t ɑ ɾ ɑ ɾ ɑ k í ɾ	Rազդ-արար-ա+Rգիր	Regular?				
204	ազդարարել	verb active	To give notice, to inform, to warn.		ազդարարել	ɑ s t ɑ ɾ ɑ ɾ é l	Rազդ-արար-ե-լ		Regular	E-Class		1
205	ազդարարութիւն	noun	Notice, summation, monition, denunciation, advice, warning.		ազդարարութիւն	ɑ s t ɑ ɾ ɑ ɾ u t ʏ́ n	Rազդ-արար-ութիւն	Suffix utjun				
206	ազդել	verb active	To effect, to influence.		ազդել	ɑ s t é l	Rազդ-ե-լ		Regular	E-Class		1
207	ազդելի	adjective	Sensible, sensitive, palpable.		ազդելի	ɑ s t e l í	Rազդ-ել-ի	Adjective				
208	ազդեցիկ	adjective	Influential, energetic, efficacious.		ազդեցիկ	ɑ s t e t͡s í ɡ	Rազդ-ե-ց-իկ	Adjective				
209	ազդեցութիւն	noun	Influence, perception, force, power.		ազդեցութիւն	ɑ s t e t͡s u t ʏ́ n	Rազդ-ե-ց-ութիւն	Suffix utjun				
210	ազդիչ	adjective	Inspiring, inspiratory: efficacious.		ազդիչ	ɑ s t í t͡ʃ	Rազդ-իչ	Adjective				
211	ազդող	adjective	Touchable: energetic.		ազդող	ɑ s t ó ʁ	Rազդ-ող	Adjective				
212	ազդողաբար	adverb	Efficaciously, energetically.		ազդո՛ղաբար	ɑ s t ó ʁ ɑ p ɑ ɾ	Rազդ-ող-աբար	Adverb				
213	ազդողապէս	adverb	Energetically.		ազդո՛ղապէս	ɑ s t ó ʁ ɑ b e s	Rազդ-ող-ապէս	Adverb				
214	ազդողութիւն	noun	Efficacy, instigation, admonition, suggestion.		ազդողութիւն	ɑ s t o ʁ u t ʏ́ n	Rազդ-ող-ութիւն	Suffix utjun				
215	ազդու	adjective	Efficacious, energetical, strong, emphatic, active, vehement.		ազդու	ɑ s t ú	Rազդ-ու	Adjective				
216	ազդում	noun	Influence, sensation, suggestion.		ազդում	ɑ s t ú m	Rազդ-ում	Potential -um suffix				
217	ազդր	noun	Thigh, back.		ազդըր	ɑ́ s t ə ɾ	Rազդր	Regular?				
218	ազդրաբեկ	adjective	Hipshot.		ազդրաբեկ	ɑ s t ɾ ɑ p é ɡ	Rազդր-ա+Rբեկ	Adjective				
219	ազդրացաւ	noun	Sciatic.		ազդրացավ	ɑ s t ɾ ɑ t͡s ɑ́ v	Rազդր-ա+Rցավ	Regular?				
220	ազդրոսկր	noun	(anat.) Ilium.		ազդրոսկըր	ɑ s t ɾ ó s k ə ɾ	Rազդր-ոսկր	Regular?				
221	ազմուտ	noun	Azimuth.		ազմուտ	ɑ z m ú d	Rազմուտ	Regular?				
222	ազն	noun	Nation, people.		ազըն	ɑ́ z ə n	Rազն	Regular?				
223	ազնիւ	adjective	Noble, gentle, excellent, fine, good, rare, precious.		ազնիվ	ɑ z n í v	Rազնիվ	Adjective				
224	ազնուաբար	adverb	Nobly, genteelly, civilly, generously.		ազնը՛վաբար	ɑ z n ə́ v ɑ p ɑ ɾ	Rազնիվ-աբար	Adverb				
225	ազնուաբարոյ	adjective	Good-tempered, civil, well-mannered.		ազնըվաբարո	ɑ z n ə v ɑ p ɑ ɾ ó	Rազնիվ-ա+Rբարո	Adjective				
226	ազնուագոյն	adjective	Better, best.		ազնըվագույն	ɑ z n ə v ɑ k ú j n	Rազնիվ-ա+Rգույն	Adjective				
227	ազնուագութ	adjective	Tender, good-natured, favourable, clement, benign, humane.		ազնըվագութ	ɑ z n ə v ɑ k ú t	Rազնիվ-ա+Rգութ	Adjective				
228	ազնուազարմ	adjective	High-born, noble, illustrious, of a noble family.		ազնըվազարմ	ɑ z n ə v ɑ z ɑ́ ɾ m	Rազնիվ-ա+RPզ+Rարմ	Adjective				
229	ազնուազգութիւն	noun	Nobility, gentility, nobility of nation.		ազնըվազգութիւն	ɑ z n ə v ɑ s k u t ʏ́ n	Rազնիվ+Rազգ-ութիւն	Suffix utjun				
230	ազնուական	noun, adjective	Noble, genteel, gentle, nobleman.		ազնըվական	ɑ z n ə v ɑ ɡ ɑ́ n	Rազնիվ-ական	Multi-POS				
231	ազնուականացնել	verb active	To ennoble, to raise to the rank of the nobility.		ազնըվականացընել	ɑ z n ə v ɑ ɡ ɑ n ɑ t͡s ə n é l	Rազնիվ-ական-ա-ցն-ե-լ		Regular	Causative	Basic	9
232	ազնուականացում	noun	Ennoblement.		ազնըվականացում	ɑ z n ə v ɑ ɡ ɑ n ɑ t͡s ú m	Rազնիվ-ական-ա-ց-ում	Potential -um suffix				
233	ազնուականութիւն	noun	Nobility, generosity, gentility, civility, genteelness.		ազնըվականութիւն	ɑ z n ə v ɑ ɡ ɑ n u t ʏ́ n	Rազնիվ-ական-ութիւն	Suffix utjun				
234	ազնուականօրէն	adverb	Gentlemanly, nobly.		ազնըվակա՛նօրէն	ɑ z n ə v ɑ ɡ ɑ́ n o ɾ e n	Rազնիվ-ական-օրէն	Adverb				
235	ազնուամիտ	adjective	Noble, of good sentiments, generous.		ազնըվամիտ	ɑ z n ə v ɑ m í d	Rազնիվ-ա+Rմիտ	Adjective				
236	ազնուանալ	verb reflected	To be ennobled, exalted, to grow better, to become noble.		ազնըվանալ	ɑ z n ə v ɑ n ɑ́ l	Rազնիվ-ա-ն-ա-լ		Regular	Inchoative		19
237	ազնուաշուք	adjective	Noble, excellent.		ազնըվաշուք	ɑ z n ə v ɑ ʃ ú k	Rազնիվ-ա+Rշուք	Adjective				
238	ազնուապաշտօն	adjective	Pious, religious, devout.		ազնըվապաշտօն	ɑ z n ə v ɑ b ɑ ʃ t ó n	Rազնիվ-ա+Rպաշտօն	Adjective				
239	ազնուապետ	noun	Aristocrat.		ազնըվապետ	ɑ z n ə v ɑ b é d	Rազնիվ-ա+Rպետ	Regular?				
240	ազնուապետաբար	adverb	Aristocratically.		ազնըվապե՛տաբար	ɑ z n ə v ɑ b é d ɑ p ɑ ɾ	Rազնիվ-ա+Rպետ-աբար	Adverb				
241	ազնուապետական	adjective	Aristocratic.		ազնըվապետական	ɑ z n ə v ɑ b e d ɑ ɡ ɑ́ n	Rազնիվ-ա+Rպետ-ական	Adjective				
242	ազնուապետութիւն	noun	Aristocracy.		ազնըվապետութիւն	ɑ z n ə v ɑ b e d u t ʏ́ n	Rազնիվ-ա+Rպետ-ութիւն	Suffix utjun				
243	ազնուապէս	adverb	Nobly.		ազնը՛վապէս	ɑ z n ə́ v ɑ b e s	Rազնիվ-ապէս	Adverb				
244	ազնուասիրտ	adjective	Who has a noble heart, noble-hearted.		ազնըվասիրտ	ɑ z n ə v ɑ s í ɾ d	Rազնիվ-ա+Rսիրտ	Adjective				
245	ազնուատոհմ	adjective	Highborn, well-descended, of a noble family.		ազնըվատոհմ	ɑ z n ə v ɑ d ó h m	Rազնիվ-ա+Rտոհմ	Adjective				
246	ազնուատոհմութիւն	noun	Nobility.		ազնըվատոհմութիւն	ɑ z n ə v ɑ d o h m u t ʏ́ n	Rազնիվ-ա+Rտոհմ-ութիւն	Suffix utjun				
247	ազնուարիւն	adjective	Of good blood, thoroughbred.		ազնըվարիւն	ɑ z n ə v ɑ ɾ ʏ́ n	Rազնիվ+Rարիւն	Adjective				
248	ազնուացնել	verb active	To ennoble, to improve, to ameliorate.		ազնըվացընել	ɑ z n ə v ɑ t͡s ə n é l	Rազնիվ-ա-ցն-ե-լ		Regular	Causative	Basic	9
249	ազնուութիւն	noun	Gentleness, nobleness, fineness, civility, dignity, nobility.		ազնըվութիւն	ɑ z n ə v u t ʏ́ n	Rազնիվ-ութիւն	Suffix utjun				
250	ազոխ	noun	Sour grape, unripe grape.		ազոխ	ɑ z ó χ	Rազոխ	Regular?				
251	ազոխաջուր	noun	Verjuice.		ազոխաջուր	ɑ z o χ ɑ t͡ʃ ú ɾ	Rազոխ-ա+Rջուր	Regular?				
252	ազոխացում	noun	(wine) Turning sour.		ազոխացում	ɑ z o χ ɑ t͡s ú m	Rազոխ-ա-ց-ում	Potential -um suffix				
253	աթաբէկ	noun, adjective	Regent, guardian.		աթաբէկ	ɑ t ɑ p é ɡ	Rաթաբէկ	Multi-POS				
254	աթաբէկութիւն	noun	Regency, guardianship.		աթաբէկութիւն	ɑ t ɑ p e ɡ u t ʏ́ n	Rաթաբէկ-ութիւն	Suffix utjun				
255	աթար	noun	Dung, manure.		աթար	ɑ t ɑ́ ɾ	Rաթար	Regular?				
256	աթերայ	noun	Pap, gruel.		աթերա	ɑ t e ɾ ɑ́	Rաթերա	Regular?				
257	աթիռ	adjective	Charmed, delighted, enchanted.		աթիռ	ɑ t í ɾ	Rաթիռ	Adjective				
258	աթոռ	noun	Chair, seat, throne, stool.		աթոռ	ɑ t ó ɾ	Rաթոռ	regular?				
259	աթոռագործ	noun	Chairmaker.		աթոռագործ	ɑ t o ɾ ɑ k ó ɾ d͡z	Rաթոռ-ա+Rգործ	Regular?				
260	աթոռազիրկ	adjective	Deposed, dethroned.		աթոռազիրկ	ɑ t o ɾ ɑ z í ɾ ɡ	Rաթոռ-ա+Rզիրկ	Adjective				
261	աթոռաժառանգ	noun	Heir at law, successor.		աթոռաժառանգ	ɑ t o ɾ ɑ ʒ ɑ ɾ ɑ́ ŋ k	Rաթոռ-ա+Rժառանգ	Regular?				
262	աթոռակ	noun	Stool, foot-stool, settle.		աթոռակ	ɑ t o ɾ ɑ́ ɡ	Rաթոռ-ակ	Regular?				
263	աթոռակալ	noun	Vicar, curate of a parish, successor.		աթոռակալ	ɑ t o ɾ ɑ ɡ ɑ́ l	Rաթոռ-ա+Rկալ	Regular?				
